OBJECTID,HydroID,Division,RivRegNum,RivRegName,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,Shape_Length,Shape_Area
"95","9400310",Carpentaria Coast,"2",WALKER RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,9379041587.92426,7.18999999800042,0.784175000059991
"96","9400311",South Australian Gulf,"2",MYPONGA RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,153683057.968989,1.05999999999949,0.0152437500100002
"97","9400312",Tanami-Timor Sea Coast,"2",FITZROY RIVER (WA), , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,97354656296.0108,25.7150000389994,8.31366875055874
"98","9400313",Lake Eyre Basin,"2",DIAMANTINA-GEORGINA RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,699161971889.724,68.5500000339962,62.0958187500175
"99","9400314",Tasmania,"2",EAST COAST, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,6553563254.78142,15.5700000629985,0.712456250105018
"100","9400315",South West Coast,"2",ALBANY COAST, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,22726773295.9031,15.1599999810006,2.22029375060501
"101","9400316",Pilbara-Gascoyne,"2",MURCHISON RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,104568012566.002,25.1449999979988,9.49921250054003
"102","9400317",South Western Plateau,"2",NULLARBOR, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,277975258217.763,46.0200000120007,25.8275937495275
"103","9400318",North East Coast,"20",BURDEKIN RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,130975673466.081,34.3050000240009,11.3816437494663
"104","9400319",South East Coast (NSW),"20",TOWAMBA RIVER, , ,,,2012-01-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,2199802835.41935,4.1599999999994,0.222956249999992
