Address,Proportion within,SA2
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936921,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936922,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936923,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936924,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936925,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936926,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936927,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936928,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936937,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936938,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936939,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936940,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936941,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936942,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936943,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936944,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936945,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936946,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
http://linked.data.gov.au/dataset/gnaf-2016-05/address/GAACT717936947,1,http://linked.data.gov.au/dataset/asgs2016/statisticalarealevel2/801051049
